q_num,low_pct,mid_pct,high_pct,n,question,short_label,construct,mean
10,25.0,34.375,40.625,32.0,自由重量区的整体布局让我觉得不容易接近。,自由重量区不易接近,空间压迫/训练焦虑,3.19
11,9.375,9.375,81.25,32.0,当自由重量区男性较多时，我会明显感到不自在。,男性较多时不自在,空间压迫/训练焦虑,4.24
12,21.875,25.0,53.125,32.0,镜子很多、公开可见的环境会让我更在意别人怎么看我的身体或动作。,镜子/公开可见增强被评价感,空间压迫/训练焦虑,3.57
13,12.5,21.875,65.625,32.0,我担心自己动作不标准，会被别人注意或评判。,担心动作不标准被评价,空间压迫/训练焦虑,3.81
14,15.625,21.875,62.5,32.0,我觉得自由重量区更像是“男性主导”的空间。,自由重量区男性主导感,空间压迫/训练焦虑,3.61
15,12.5,12.5,75.0,32.0,自由重量区的人数密度、器械集中和拥挤感，会让我不想停留。,拥挤感降低停留意愿,空间压迫/训练焦虑,3.88
21,21.875,18.75,59.375,32.0,社交媒体上的审美内容会影响我选择什么样的运动。,审美内容影响运动选择,社交媒体审美内化,3.4
22,81.25,3.125,15.625,32.0,我担心力量训练会让我看起来不够纤细，或不符合主流女性审美。,担心力量训练不够纤细,社交媒体审美内化,1.85
23,43.75,25.0,31.25,32.0,我会不自觉地把社交媒体上流行的女性身材标准，当作自己努力的方向。,内化社交媒体女性身材标准,社交媒体审美内化,2.73
24,18.75,31.25,50.0,32.0,我有信心：如果我去健身房，我能够顺利实现自己的训练目标。,健身房训练目标自我效能,训练自我效能,3.49
25,18.75,31.25,50.0,32.0,如果社交媒体上对女性力量训练的刻板印象减少，我会更愿意参与力量训练。,减少刻板印象会提升参与意愿,干预偏好指数,3.39
26,15.625,3.125,81.25,32.0,如果自由重量区增加半私密分区或视觉遮挡，我会更愿意使用。,半私密分区会提升使用意愿,干预偏好指数,4.04
27,0.0,3.125,96.875,32.0,如果学校提供女性初学者力量训练 workshop，我会更愿意尝试力量训练。,女性初学者workshop会提升尝试意愿,干预偏好指数,4.5
