theme,participant,question_no,quote
空间可见性与镜面凝视,P1,3,有。我感觉是因为你在做有氧的时候你是背对别人的，然后没有镜子，所以你就可以自己干自己的事情。就是窗边那一排的器械那一块嘛，无论是跑步机啊，还是什么椭圆机这些。但是你在力量训练那一块，就是有镜子什么之类的，你就可以看到别人，所以就是比较明显。
空间可见性与镜面凝视,P3,4,有。我记得有氧区有很多泡沫轴之类的地方，但是它是面朝外面的，所以看不到背后的人在看它。但是在做力量训练的时候，面前是很大的镜子，余光很容易注意到周围，偶尔就会感觉到有人在看你。
新手门槛与动作错误羞耻,P3,6,"我会。其实我避开力量训练区，有一部分是因为我是新手，什么都不会，很担心器材不知道怎么用，担心动作不标准，别人看了会觉得""好菜啊""。而且我感觉，那边大部分还是男生，而且那些男生都已经练得很好，肌肉量很大，看着就很有压迫感。我没有任何歧视，我觉得他们都练得很好，但我就是特别在意他们对我的评价。"
新手门槛与动作错误羞耻,P2,15,我觉得是个人心理原因多一点，其实是互相影响的关系。然后我觉得大部分女生都不太了解力量训练的方法，所以可能会有门槛，不知道怎么使用这些工具，所以就导致不敢。然后很在意别人对自己的评价，就像你刚才说，人多的时候总感觉别人在观察你，觉得自己动作不标准，会耽误别人使用器械，所以就是一种个人心理。
男性主导氛围与距离感,P2,16,空间的话，健身房器械很多，但是人多的时候空间就比较挤，有些人想练就没有器械可用。还有一些空间设计比较偏男性化，就像男厕女厕是两种不同的设计，健身房大部分看起来设计得比较男性风格。氛围也是，练的大部分是男生，所以氛围可能会让女生有距离感。可能女生会觉得自己跟大家不一样，训练经验、重量这些都跟大家不一样，就会比较尴尬。
策略性协商而非彻底退出,P1,8,可能有的时候就是直接改去练有氧，就不去无氧那边了。然后还有的时候就找舍友。还有，可能我一般会在早上 9 点之前去，这样人基本上没有什么人，然后其实也不太需要排队。
策略性协商而非彻底退出,P3,7,我去的时候会选择不戴眼镜，直接无视掉，或者和同学、朋友一起去，就感觉跟同伴在一起更安心。
审美影响的有限性与多元化,P2,11,我觉得影响应该会有，但是它可能就是产生影响，但不至于影响我的选择。就是可能会有一些人觉得练得太壮不好看，我看到这种观点会觉得不舒服，但是它不会影响我去练。健身不一定是要练得壮，而是让你的肌肉跟体态更好。也不是说练力量就一定是练肌肉，你也可以练核心、练别的部分。
审美影响的有限性与多元化,P3,8,我会刷到这种观点，但我觉得这种观点很不合理，我完全不认同，有时候甚至会反驳。我不在意这些。
新手友好/女性友好干预需求,P2,17,我觉得我们学校健身房不是有电视吗？可以多放一些器械的使用方法，现在那个就非常好，可以多加一些其他视频，覆盖更多训练方式。然后我觉得可以开设一些零基础入门的班，系统教大家怎么练、怎么使用工具。我们体育课会教，我觉得体育课做得很好，但除了体育课外，也可以开一些所有人都能参加的课。体育馆预约那里好像有，但我没感受到过，而且好像不包括健身设施的使用教学。
新手友好/女性友好干预需求,P3,12,我觉得首先是每个人都比较爱干净，用完器械会拿酒精擦一下。另外不只是对女生友好，应该对新手友好。可以设置一些隔离开的区域，因为现在大片区域太开放了，大家很容易看到彼此做动作。可以做小一点的空间，或者不搞那么多大镜子，也不用完全开放式，可以用隔板分开区域，更有隐私一点，有点像小隔间那样。
