q_num,question,type,valid_n,total_score,mean,source_row
1,您目前是否为在校大学生？,单选题,34.0,,,1
2,您的性别认同是？,单选题,33.0,,,7
3,您的年龄是？,单选题,32.0,,,13
4,过去一个月，您平均每周进行运动的频率大约是？,单选题,32.0,,,21
5,您是否使用过学校健身房？,单选题,32.0,,,30
6,您通常在什么时间段去健身房？（可多选）,多选题,32.0,,,36
7,您最常使用健身房哪些区域？（可多选）,多选题,32.0,,,45
8,您是否曾系统接触过力量训练？,单选题,32.0,,,55
9,您当前最主要的运动目标是？（最多选2项）,多选题,32.0,,,63
10,自由重量区的整体布局让我觉得不容易接近。,滑动条,32.0,102.2,3.19,75
11,当自由重量区男性较多时，我会明显感到不自在。,滑动条,32.0,135.6,4.24,85
12,镜子很多、公开可见的环境会让我更在意别人怎么看我的身体或动作。,滑动条,32.0,114.2,3.57,95
13,我担心自己动作不标准，会被别人注意或评判。,滑动条,32.0,122.0,3.81,105
14,我觉得自由重量区更像是“男性主导”的空间。,滑动条,32.0,115.5,3.61,115
15,自由重量区的人数密度、器械集中和拥挤感，会让我不想停留。,滑动条,32.0,124.0,3.88,125
16,过去一个月里，您主动避开自由重量区的频率是？,单选题,32.0,,,135
17,您回避自由重量区的主要原因有哪些？（可多选）,多选题,32.0,,,144
18,当您在健身房或自由重量区感到不自在时，您通常会怎么做？（可多选）,多选题,32.0,,,159
19,您最常使用哪些社交媒体平台？（可多选）,多选题,32.0,,,171
20,您平均每天浏览与身材、健身、减脂、外貌或穿搭相关内容的时间大约是？,单选题,32.0,,,183
21,社交媒体上的审美内容会影响我选择什么样的运动。,滑动条,32.0,108.7,3.4,192
22,我担心力量训练会让我看起来不够纤细，或不符合主流女性审美。,滑动条,32.0,59.3,1.85,202
23,我会不自觉地把社交媒体上流行的女性身材标准，当作自己努力的方向。,滑动条,32.0,87.3,2.73,212
24,我有信心：如果我去健身房，我能够顺利实现自己的训练目标。,滑动条,32.0,111.7,3.49,222
25,如果社交媒体上对女性力量训练的刻板印象减少，我会更愿意参与力量训练。,滑动条,32.0,108.4,3.39,232
26,如果自由重量区增加半私密分区或视觉遮挡，我会更愿意使用。,滑动条,32.0,129.4,4.04,242
27,如果学校提供女性初学者力量训练 workshop，我会更愿意尝试力量训练。,滑动条,32.0,144.0,4.5,252
28,您是否愿意参加后续焦点小组访谈？（10分钟左右，访谈信息匿名化处理，有偿）,单选题,32.0,,,262
29,作答完毕请截图进群领取红包，有参与焦点访谈意向的可直接与群主联系。感谢您的参与！,单选题,32.0,,,268
