participant,question_no,question,answer,source_file
1,1,平时在学校会健身吗？最常去校园健身房还是操场之类的场所？,会，然后健身房去的次数会比操场多一点。,E:\Project\1808论文\data\采访对象_1_QA.md
1,2,第一次走进学校健身房时的整体感受是什么？,就是还挺大的，器械特别多。然后人相比其他学校来说少一点吧，差不多这种感觉。,E:\Project\1808论文\data\采访对象_1_QA.md
1,3,有氧区和力量训练区，在被别人凝视、被评价的感觉上有明显差别吗？,有。我感觉是因为你在做有氧的时候你是背对别人的，然后没有镜子，所以你就可以自己干自己的事情。就是窗边那一排的器械那一块嘛，无论是跑步机啊，还是什么椭圆机这些。但是你在力量训练那一块，就是有镜子什么之类的，你就可以看到别人，所以就是比较明显。,E:\Project\1808论文\data\采访对象_1_QA.md
1,4,力量训练区被注视的感觉会比有氧区更强烈吗？,是。,E:\Project\1808论文\data\采访对象_1_QA.md
1,5,有没有尝试过力量训练？是上过课还是自学？,有啊，还算常去。没有付钱上过课，在网上看教程，自己或者跟同学一起去那样。,E:\Project\1808论文\data\采访对象_1_QA.md
1,6,力量训练时会不会担心动作不标准被别人打量、评价？,还挺经常的，而且这是有的时候我想去，但是没有去的最大一个原因。,E:\Project\1808论文\data\采访对象_1_QA.md
1,7,会不会因为力量训练区氛围、人多、男生比较多而刻意避开？,对对对。,E:\Project\1808论文\data\采访对象_1_QA.md
1,8,在健身房感到不自在时会用什么方式调节？,可能有的时候就是直接改去练有氧，就不去无氧那边了。然后还有的时候就找舍友。还有，可能我一般会在早上 9 点之前去，这样人基本上没有什么人，然后其实也不太需要排队。,E:\Project\1808论文\data\采访对象_1_QA.md
1,9,晚上热门时段去，会遇到想练的器械排队排不上号的情况吗？,不太会排不上号。有时候需要跟男生交替练，差距会比较大，有时候会有一点点小麻烦。因为女生相对而言还是少，尤其是力量训练那一块区域来说，我观察到女生占少数。这种情况下我一般不会晚上去，偶尔会去看一眼，如果空的话我就可能练几下，没有空我就一般不练。,E:\Project\1808论文\data\采访对象_1_QA.md
1,10,刷社交媒体时会不会刷到女生练力量后展示身材，被说偏离主流审美？,我感觉我经常刷到健身的视频，但是好像不太看到，可能是因为我个人不太关注。我看到的时候就觉得哇，好棒啊，所以我不太 care 下面的人说什么。,E:\Project\1808论文\data\采访对象_1_QA.md
